时间,商品名称,库存变化,单笔销量
2026-05-27 21:46:36,台湾地址,初始销量: -23,23
2026-05-27 21:46:36,国际地址,初始库存: 10000,0
2026-05-27 23:02:08,台湾地址,-30 -> -33,3
2026-05-27 23:27:14,台湾地址,-33 -> -34,1
2026-05-27 23:47:03,台湾地址,-34 -> -35,1
2026-05-27 23:57:03,台湾地址,-35 -> -36,1
2026-05-28 16:31:54,台湾地址,-36 -> -37,1
2026-05-28 22:38:20,台湾地址,-37 -> -65,28
2026-05-28 23:23:35,台湾地址,-65 -> -70,5
2026-05-29 02:54:07,台湾地址,-70 -> -63,-7
2026-05-29 08:35:28,台湾地址,-63 -> -64,1
2026-05-29 08:55:37,台湾地址,-64 -> -65,1
2026-05-29 12:21:03,国际地址,10000 -> 9990,10
2026-05-29 18:26:20,国际地址,9990 -> 9985,5
2026-05-29 20:37:09,台湾地址,-65 -> -66,1
2026-05-29 21:17:28,台湾地址,-66 -> -79,13
2026-05-30 00:28:07,台湾地址,-79 -> -80,1
2026-05-30 00:33:01,台湾地址,-80 -> -81,1
2026-05-30 05:38:12,台湾地址,-81 -> -86,5
2026-05-30 05:43:11,台湾地址,-86 -> -93,7
